"Mortality rate age 5-14 (10q5): the probability of dying between exact age 5 and exact age 15, expressed per 1,000 children aged 5",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Country_Name,Country_ISO,Series_Name,Series_Year,Indicator,Sex,Series_Type,Series_Category,Data_Collection_Method,Interval,Reference_Date,Estimates,Standard_Error_of_Estimates,Inclusion,DataCatalogID
Afghanistan,AFG,Multiple Indicator Cluster Survey,2023,Mortality Rate age 5-14,Total,Direct,MICS,Full Birth Histories,3,2012.3,10.02,2.37,1,9218
Afghanistan,AFG,Multiple Indicator Cluster Survey,2023,Mortality Rate age 5-14,Total,Direct,MICS,Full Birth Histories,3,2015.3,5.06,0.88,1,9218
Afghanistan,AFG,Multiple Indicator Cluster Survey,2023,Mortality Rate age 5-14,Total,Direct,MICS,Full Birth Histories,3,2018.3,6.05,0.87,1,9218
Afghanistan,AFG,Multiple Indicator Cluster Survey,2023,Mortality Rate age 5-14,Total,Direct,MICS,Full Birth Histories,3,2021.3,8.27,1.09,1,9218
Afghanistan,AFG,Afghanistan Health Survey,2018,Mortality Rate age 5-14,Total,Direct,Others,Full Birth Histories,6,2009.2,8.06,1.61,1,7734
Afghanistan,AFG,Afghanistan Health Survey,2018,Mortality Rate age 5-14,Total,Direct,Others,Full Birth Histories,6,2015.2,3.7,0.58,1,7734
Afghanistan,AFG,Demographic and Health Survey,2015,Mortality Rate age 5-14,Total,Direct,Special DHS,Full Birth Histories,4,2005.4,9.21,1.7,1,5689
Afghanistan,AFG,Demographic and Health Survey,2015,Mortality Rate age 5-14,Total,Direct,Special DHS,Full Birth Histories,4,2009.4,8.12,1.81,1,5689
Afghanistan,AFG,Demographic and Health Survey,2015,Mortality Rate age 5-14,Total,Direct,Special DHS,Full Birth Histories,4,2013.4,7.08,0.86,1,5689
Afghanistan,AFG,Afghanistan Mortality Survey (AMS) Excluding South Zone,2010,Mortality Rate age 5-14,Total,Direct,Special DHS,Full Birth Histories,2,1999.2,7.78,1.45,1,5045
Afghanistan,AFG,Afghanistan Mortality Survey (AMS) Excluding South Zone,2010,Mortality Rate age 5-14,Total,Direct,Special DHS,Full Birth Histories,2,2001.2,11.77,1.66,1,5045
Afghanistan,AFG,Afghanistan Mortality Survey (AMS) Excluding South Zone,2010,Mortality Rate age 5-14,Total,Direct,Special DHS,Full Birth Histories,2,2003.2,7.09,1.1,1,5045
Afghanistan,AFG,Afghanistan Mortality Survey (AMS) Excluding South Zone,2010,Mortality Rate age 5-14,Total,Direct,Special DHS,Full Birth Histories,2,2005.2,7.69,1.12,1,5045
Afghanistan,AFG,Afghanistan Mortality Survey (AMS) Excluding South Zone,2010,Mortality Rate age 5-14,Total,Direct,Special DHS,Full Birth Histories,2,2007.2,8.79,1.23,1,5045
Afghanistan,AFG,Afghanistan Mortality Survey (AMS) Excluding South Zone,2010,Mortality Rate age 5-14,Total,Household Deaths,Special DHS,Household Deaths,,2008.1,13.59,,1,5045
Afghanistan,AFG,Afghanistan Mortality Survey (AMS) Excluding South Zone,2010,Mortality Rate age 5-14,Total,Direct,Special DHS,Full Birth Histories,2,2009.2,12.89,1.41,1,5045
Afghanistan,AFG,Census,1979,Mortality Rate age 5-14,Total,Household Deaths,Census,Household Deaths,1,1979,57.67,,1,280
Afghanistan,AFG,National Demographic and Family Guidance Survey,1972,Mortality Rate age 5-14,Total,Household Deaths,Others,Household Deaths,,1973,57.94,,1,160
Albania,ALB,VR Submitted to WHO/UNIGME 2023 version,2023,Mortality Rate age 5-14,Total,VR,VR,Vital Registration,1,1980.5,4.64,0.25,0,471
Albania,ALB,VR Submitted to WHO/UNIGME 2023 version,2023,Mortality Rate age 5-14,Total,VR,VR,Vital Registration,1,1984.5,2.72,0.2,0,471
Albania,ALB,VR Submitted to WHO/UNIGME 2023 version,2023,Mortality Rate age 5-14,Total,VR,VR,Vital Registration,1,1985.5,3.85,0.23,0,471
Albania,ALB,VR Submitted to WHO/UNIGME 2023 version,2023,Mortality Rate age 5-14,Total,VR,VR,Vital Registration,1,1986.5,4.85,0.26,0,471
Albania,ALB,VR Submitted to WHO/UNIGME 2023 version,2023,Mortality Rate age 5-14,Total,VR,VR,Vital Registration,1,1987.5,5.15,0.27,0,471
Albania,ALB,VR Submitted to WHO/UNIGME 2023 version,2023,Mortality Rate age 5-14,Total,VR,VR,Vital Registration,1,1988.5,5.42,0.27,0,471
Albania,ALB,VR Submitted to WHO/UNIGME 2023 version,2023,Mortality Rate age 5-14,Total,VR,VR,Vital Registration,1,1989.5,6.41,0.29,1,471
Albania,ALB,VR Submitted to WHO/UNIGME 2023 version,2023,Mortality Rate age 5-14,Total,VR,VR,Vital Registration,1,1990.5,6.69,0.3,1,471
Albania,ALB,VR Submitted to WHO/UNIGME 2023 version,2023,Mortality Rate age 5-14,Total,VR,VR,Vital Registration,1,1991.5,6.16,0.29,1,471
Albania,ALB,VR Submitted to WHO/UNIGME 2023 version,2023,Mortality Rate age 5-14,Total,VR,VR,Vital Registration,1,1992.5,5.65,0.28,1,471
Albania,ALB,VR Submitted to WHO/UNIGME 2023 version,2023,Mortality Rate age 5-14,Total,VR,VR,Vital Registration,1,1993.5,5.6,0.28,1,471
Albania,ALB,VR Submitted to WHO/UNIGME 2023 version,2023,Mortality Rate age 5-14,Total,VR,VR,Vital Registration,1,1994.5,4.46,0.25,1,471
Albania,ALB,VR Submitted to WHO/UNIGME 2023 version,2023,Mortality Rate age 5-14,Total,VR,VR,Vital Registration,1,1995.5,4.23,0.24,1,471
Albania,ALB,VR Submitted to WHO/UNIGME 2023 version,2023,Mortality Rate age 5-14,Total,VR,VR,Vital Registration,1,1996.5,4.49,0.26,1,471
Albania,ALB,VR Submitted to WHO/UNIGME 2023 version,2023,Mortality Rate age 5-14,Total,VR,VR,Vital Registration,1,1997.5,4.53,0.26,1,471
Albania,ALB,VR Submitted to WHO/UNIGME 2023 version,2023,Mortality Rate age 5-14,Total,VR,VR,Vital Registration,1,1998.5,4.13,0.25,1,471
Albania,ALB,VR Submitted to WHO/UNIGME 2023 version,2023,Mortality Rate age 5-14,Total,VR,VR,Vital Registration,1,1999.5,3.78,0.24,1,471
Albania,ALB,VR Submitted to WHO/UNIGME 2023 version,2023,Mortality Rate age 5-14,Total,VR,VR,Vital Registration,1,2000.5,4.07,0.26,1,471
Albania,ALB,VR Submitted to WHO/UNIGME 2023 version,2023,Mortality Rate age 5-14,Total,VR,VR,Vital Registration,1,2001.5,3.95,0.26,1,471
Albania,ALB,VR Submitted to WHO/UNIGME 2023 version,2023,Mortality Rate age 5-14,Total,VR,VR,Vital Registration,1,2002.5,3.98,0.27,1,471
Albania,ALB,VR Submitted to WHO/UNIGME 2023 version,2023,Mortality Rate age 5-14,Total,VR,VR,Vital Registration,1,2003.5,4.48,0.29,0,471
Albania,ALB,VR Submitted to WHO/UNIGME 2023 version,2023,Mortality Rate age 5-14,Total,VR,VR,Vital Registration,1,2004.5,5.21,0.33,0,471
Albania,ALB,VR Submitted to WHO/UNIGME 2023 version,2023,Mortality Rate age 5-14,Total,VR,VR,Vital Registration,1,2005.5,5.79,0.35,0,471
Albania,ALB,VR Submitted to WHO/UNIGME 2023 version,2023,Mortality Rate age 5-14,Total,VR,VR,Vital Registration,1,2006.5,4.29,0.32,0,471
Albania,ALB,VR Submitted to WHO/UNIGME 2023 version,2023,Mortality Rate age 5-14,Total,VR,VR,Vital Registration,1,2007.5,4.5,0.33,0,471
Albania,ALB,VR Submitted to WHO/UNIGME 2023 version,2023,Mortality Rate age 5-14,Total,VR,VR,Vital Registration,1,2008.5,4.64,0.35,0,471
Albania,ALB,VR Submitted to WHO/UNIGME 2023 version,2023,Mortality Rate age 5-14,Total,VR,VR,Vital Registration,1,2009.5,4.75,0.36,0,471
Albania,ALB,VR Submitted to WHO/UNIGME 2023 version,2023,Mortality Rate age 5-14,Total,VR,VR,Vital Registration,1,2010.5,4.95,0.38,0,471
Albania,ALB,VR Submitted to WHO/UNIGME 2023 version,2023,Mortality Rate age 5-14,Total,VR,VR,Vital Registration,1,2011.5,2.85,0.29,0,471
Albania,ALB,VR Submitted to WHO/UNIGME 2023 version,2023,Mortality Rate age 5-14,Total,VR,VR,Vital Registration,1,2012.5,2.64,0.29,1,471
Albania,ALB,VR Submitted to WHO/UNIGME 2023 version,2023,Mortality Rate age 5-14,Total,VR,VR,Vital Registration,1,2013.5,2.44,0.27,1,471
Albania,ALB,VR Submitted to WHO/UNIGME 2023 version,2023,Mortality Rate age 5-14,Total,VR,VR,Vital Registration,1,2014.5,2.67,0.29,1,471
Albania,ALB,VR Submitted to WHO/UNIGME 2023 version,2023,Mortality Rate age 5-14,Total,VR,VR,Vital Registration,1,2015.5,2.4,0.27,1,471
Albania,ALB,VR Submitted to WHO/UNIGME 2023 version,2023,Mortality Rate age 5-14,Total,VR,VR,Vital Registration,1,2016.5,2.03,0.25,1,471
Albania,ALB,VR Submitted to WHO/UNIGME 2023 version,2023,Mortality Rate age 5-14,Total,VR,VR,Vital Registration,1,2017.5,2.12,0.25,1,471
